c_op	1	2	3	4	5	6	7	8	9	10	11	12
ELECTRICITY	0.0901	0.0901	0.0901	0.0901	0.0901	0.0901	0.0901	0.0901	0.0901	0.0901	0.0901	0.0901
GASOLINE	0.0880	0.0880	0.0880	0.0880	0.0880	0.0880	0.0880	0.0880	0.0880	0.0880	0.0880	0.0880
DIESEL	0.0852	0.0852	0.0852	0.0852	0.0852	0.0852	0.0852	0.0852	0.0852	0.0852	0.0852	0.0852
BIOETHANOL	0.0880	0.0880	0.0880	0.0880	0.0880	0.0880	0.0880	0.0880	0.0880	0.0880	0.0880	0.0880
BIODIESEL	0.0852	0.0852	0.0852	0.0852	0.0852	0.0852	0.0852	0.0852	0.0852	0.0852	0.0852	0.0852
LFO	0.0606	0.0606	0.0606	0.0606	0.0606	0.0606	0.0606	0.0606	0.0606	0.0606	0.0606	0.0606
LNG	0	0	0	0	0	0	0	0	0	0	0	0
NG	0.0348	0.0348	0.0348	0.0348	0.0348	0.0348	0.0348	0.0348	0.0348	0.0348	0.0348	0.0348
NG_CCS	0.0348	0.0348	0.0348	0.0348	0.0348	0.0348	0.0348	0.0348	0.0348	0.0348	0.0348	0.0348
SNG	0.0348	0.0348	0.0348	0.0348	0.0348	0.0348	0.0348	0.0348	0.0348	0.0348	0.0348	0.0348
WOOD	0.0932	0.0932	0.0932	0.0932	0.0932	0.0932	0.0932	0.0932	0.0932	0.0932	0.0932	0.0932
COAL	0.0302	0.0302	0.0302	0.0302	0.0302	0.0302	0.0302	0.0302	0.0302	0.0302	0.0302	0.0302
COAL_CCS	0.0302	0.0302	0.0302	0.0302	0.0302	0.0302	0.0302	0.0302	0.0302	0.0302	0.0302	0.0302
URANIUM	0.0041	0.0041	0.0041	0.0041	0.0041	0.0041	0.0041	0.0041	0.0041	0.0041	0.0041	0.0041
WASTE	0	0	0	0	0	0	0	0	0	0	0	0
H2	0	0	0	0	0	0	0	0	0	0	0	0
ELEC_EXPORT	0	0	0	0	0	0	0	0	0	0	0	0
